feature,variance,variance_pass,correlation_pass,univariate_corr,univariate_pvalue,bonferroni_alpha,univariate_pass,final_status
order_frequency,1.1048958171365941,True,False,,,,,fail
return_frequency,0.8043961330069883,True,True,0.6140835283634054,0.0,0.005555555555555556,True,pass
customer_return_rate,0.09966402724677735,True,True,0.1022267795223946,1.0597217656934123e-23,0.005555555555555556,True,pass
avg_basket_size,0.4173444231085441,True,True,0.47071596621480416,0.0,0.005555555555555556,True,pass
avg_order_value,5438.5806313031235,True,True,0.5845943199025194,0.0,0.005555555555555556,True,pass
customer_tenure_days,539845.4379891398,True,True,-0.008498276570942716,0.40533534108190605,0.005555555555555556,False,fail
purchase_recency_days,231575.3178535166,True,True,-0.011195725874931551,0.27295950155266807,0.005555555555555556,False,fail
total_items,3.6809428486616556,True,True,0.29087258754689266,2.477189020312878e-186,0.005555555555555556,True,pass
total_sales,25343.50313504201,True,False,,,,,fail
total_margin,7215.218783617309,True,True,0.45203843068406724,0.0,0.005555555555555556,True,pass
avg_item_price,2386.449811919911,True,False,,,,,fail
avg_item_margin,725.6735795370537,True,True,0.4061738598874609,0.0,0.005555555555555556,True,pass
